survey,siteID,phase,sub_phase,palatial,siteUID,surUID,cat_area,centroid_x,centroid_y,rarea,radius
VRO,IS1,MMIII-LMI,MMIII-LMIB,neo,136,VIS1,8000,658471,3888013,8000,50.463
VRO,KA1/3,MMIII-LMI,MMIII-LMIB,neo,137,VKA1/3,2500,657272,3887463,2500,28.209
VRO,KK1,MMIII-LMI,MMIII-LMIB,neo,138,VKK1,12000,656088,3886620,12000,61.804
VRO,KK5,MMIII-LMI,MMIII-LMIB,neo,139,VKK5,3000,655925,3886349,3000,30.902
VRO,KK6,MMIII-LMI,MMIII-LMIB,neo,140,VKK6,100,656691,3886544,100,5.642
VRO,KK7,MMIII-LMI,MMIII-LMIB,neo,141,VKK7,300,657362,3886439,300,9.772
VRO,KM1,MMIII-LMI,MMIII-LMIB,neo,142,VKM1,8600,661823,3886756,8600,52.321
VRO,KM2,MMIII-LMI,MMIII-LMIB,neo,143,VKM2,11000,661482,3886593,11000,59.173
VRO,KM3,MMIII-LMI,MMIII-LMIB,neo,144,VKM3,2300,661087,3886902,2300,27.058
VRO,KP1,MMIII-LMI,MMIII-LMIB,neo,145,VKP1,3600,658415,3887790,3600,33.851
VRO,KP5,MMIII-LMI,MMIII-LMIB,neo,146,VKP5,2100,657649,3887313,2100,25.854
VRO,MK1,MMIII-LMI,MMIII-LMIB,neo,147,VMK1,1000,657459,3884920,1000,17.841
VRO,OL12,MMIII-LMI,MMIII-LMIB,neo,149,VOL12,100,657063,3883882,100,5.642
VRO,OL8,MMIII-LMI,MMIII-LMIB,neo,148,VOL8,1800,657069,3883751,1800,23.937
VRO,PI2,MMIII-LMI,MMIII-LMIB,neo,150,VPI2,16000,655948,3884920,16000,71.365
VRO,PI3,MMIII-LMI,MMIII-LMIB,neo,151,VPI3,600,654889,3884896,600,13.82
VRO,PI5,MMIII-LMI,MMIII-LMIB,neo,152,VPI5,4500,655659,3884757,4500,37.847
VRO,PI6,MMIII-LMI,MMIII-LMIB,neo,153,VPI6,800,655545,3884528,800,15.958
VRO,PN1,MMIII-LMI,MMIII-LMIB,neo,154,VPN1,100,653789,3884514,100,5.642
VRO,PN3:4,MMIII-LMI,MMIII-LMIB,neo,155,VPN3:4,900,654473,3885503,900,16.926
VRO,PP1,MMIII-LMI,MMIII-LMIB,neo,156,VPP1,22500,657555,3888323,60000,138.1977
VRO,PS3,MMIII-LMI,MMIII-LMIB,neo,157,VPS3,1200,657963,3886181,1200,19.544
VRO,PT1,MMIII-LMI,MMIII-LMIB,neo,158,VPT1,100,659619,3886705,100,5.642
VRO,PT2,MMIII-LMI,MMIII-LMIB,neo,159,VPT2,900,659650,3887059,900,16.926
VRO,PT4,MMIII-LMI,MMIII-LMIB,neo,160,VPT4,100,660288,3886718,100,5.642
VRO,PV1,MMIII-LMI,MMIII-LMIB,neo,161,VPV1,13000,659967,3885864,13000,64.328
VRO,SK5,MMIII-LMI,MMIII-LMIB,neo,162,VSK5,4900,657459,3884363,4900,39.493
VRO,SO3,MMIII-LMI,MMIII-LMIB,neo,163,VSO3,100,660751,3885439,100,5.642
VRO,SP1A,MMIII-LMI,MMIII-LMIB,neo,164,VSP1A,7300,655268,3886866,7300,48.204
VRO,SP2,MMIII-LMI,MMIII-LMIB,neo,165,VSP2,1500,655187,3886447,1500,21.851
VRO,TM1A,MMIII-LMI,MMIII-LMIB,neo,166,VTM1A,10000,659248,3884392,10000,56.419
VRO,TM2,MMIII-LMI,MMIII-LMIB,neo,167,VTM2,13000,658870,3884381,13000,64.328
VRO,VK1,MMIII-LMI,MMIII-LMIB,neo,168,VVK1,5600,658818,3887482,5600,42.22
VRO,VK5,MMIII-LMI,MMIII-LMIB,neo,169,VVK5,3000,658438,3886607,3000,30.902
VRO,VK6/8,MMIII-LMI,MMIII-LMIB,neo,170,VVK6/8,100,658786,3886433,100,5.642
KAV,24,EMIII-MMIA,,prepal,0,K24,100,669078,3887860,100,5.642
VRO,PR2E,EMIII-MMIA,,prepal,0,VPR2E,100,655956,3886993,100,5.642
VRO,PR2E,MMIB-II,,proto,0,VPR2E,100,655956,3886993,100,5.642
